Minimum occurences,Recall Without,Precision Without,F1-measure Without,Nr Relations Without,Recall With,Precision With,F1-measure With,Nr Relations With
168,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
169,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
170,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
171,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
172,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
173,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
174,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
175,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
176,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
177,0.08527131782945736,0.525,0.1467132422991426,40,0.08139534883720931,0.5882352941176471,0.14300306435137897,34
178,0.08527131782945736,0.5384615384615384,0.14722753346080306,39,0.08139534883720931,0.6060606060606061,0.14351614556637624,33
179,0.08527131782945736,0.5384615384615384,0.14722753346080306,39,0.08139534883720931,0.6060606060606061,0.14351614556637624,33
180,0.08527131782945736,0.5384615384615384,0.14722753346080306,39,0.08139534883720931,0.6060606060606061,0.14351614556637624,33
181,0.08527131782945736,0.5384615384615384,0.14722753346080306,39,0.08139534883720931,0.6060606060606061,0.14351614556637624,33
182,0.08527131782945736,0.5384615384615384,0.14722753346080306,39,0.08139534883720931,0.6060606060606061,0.14351614556637624,33
183,0.08527131782945736,0.5384615384615384,0.14722753346080306,39,0.08139534883720931,0.6060606060606061,0.14351614556637624,33
184,0.08527131782945736,0.5384615384615384,0.14722753346080306,39,0.08139534883720931,0.6060606060606061,0.14351614556637624,33
185,0.08527131782945736,0.5384615384615384,0.14722753346080306,39,0.08139534883720931,0.6060606060606061,0.14351614556637624,33
186,0.08527131782945736,0.5384615384615384,0.14722753346080306,39,0.08139534883720931,0.6060606060606061,0.14351614556637624,33
187,0.08527131782945736,0.5384615384615384,0.14722753346080306,39,0.08139534883720931,0.6060606060606061,0.14351614556637624,33
188,0.08527131782945736,0.5384615384615384,0.14722753346080306,39,0.08139534883720931,0.6060606060606061,0.14351614556637624,33
189,0.08527131782945736,0.5526315789473685,0.1477454429165334,38,0.08139534883720931,0.6060606060606061,0.14351614556637624,33
190,0.08527131782945736,0.5675675675675675,0.14826700898587933,37,0.08139534883720931,0.625,0.1440329218106996,32
191,0.08527131782945736,0.5675675675675675,0.14826700898587933,37,0.08139534883720931,0.625,0.1440329218106996,32
192,0.08527131782945736,0.5675675675675675,0.14826700898587933,37,0.08139534883720931,0.625,0.1440329218106996,32
193,0.08527131782945736,0.5675675675675675,0.14826700898587933,37,0.08139534883720931,0.625,0.1440329218106996,32
194,0.08527131782945736,0.5675675675675675,0.14826700898587933,37,0.08139534883720931,0.625,0.1440329218106996,32
195,0.08527131782945736,0.5675675675675675,0.14826700898587933,37,0.08139534883720931,0.625,0.1440329218106996,32
196,0.08527131782945736,0.5675675675675675,0.14826700898587933,37,0.08139534883720931,0.625,0.1440329218106996,32
